Rank,player_id,player_name,team_id,Proj_MIN,Proj_PTS,Proj_REB,Proj_AST,Proj_STL,Proj_BLK,Proj_3PM,Proj_TOV,Proj_USG%,Proj_TS%
1,doncilu01,Luka Dončić,LAL,36.3,31.9,8.0,8.2,1.6,0.5,3.8,3.9,36.7,0.603
2,gilgesh01,Shai Gilgeous-Alexander,OKC,34.2,30.9,4.6,6.6,1.6,0.9,1.7,2.4,33.6,0.649
3,jokicni01,Nikola Jokić,DEN,35.9,27.8,12.8,10.1,1.5,0.8,1.7,3.5,29.7,0.669
4,edwaran01,Anthony Edwards,MIN,35.5,27.4,5.5,4.2,1.2,0.7,3.3,2.9,31.3,0.594
5,maxeyty01,Tyrese Maxey,PHI,38.1,27.1,3.8,6.3,1.6,0.6,3.0,2.3,29.2,0.573
6,brunsja01,Jalen Brunson,NYK,35.6,27.0,3.3,6.8,0.9,0.1,2.5,2.5,31.0,0.585
7,mitchdo01,Donovan Mitchell,CLE,33.5,26.6,4.7,5.1,1.5,0.3,3.2,2.6,31.9,0.588
8,duranke01,Kevin Durant,HOU,36.7,26.3,5.8,4.6,0.8,1.0,2.4,3.2,28.0,0.647
9,bookede01,Devin Booker,PHO,35.3,25.8,4.0,6.5,0.8,0.3,2.0,3.0,30.7,0.587
10,brownja02,Jaylen Brown,BOS,34.5,25.8,6.4,4.6,1.1,0.4,2.0,3.2,32.8,0.57
11,leonaka01,Kawhi Leonard,LAC,32.7,25.4,6.3,3.5,1.7,0.5,2.4,2.0,30.9,0.617
12,cunnica01,Cade Cunningham,DET,35.0,24.8,5.5,9.1,1.2,0.7,2.0,4.1,31.3,0.564
13,wembavi01,Victor Wembanyama,SAS,31.1,24.1,11.1,3.3,1.1,3.4,2.2,2.9,31.4,0.6
14,banchpa01,Paolo Banchero,ORL,35.1,23.6,8.0,5.1,0.8,0.6,1.5,3.1,30.1,0.551
15,murraja01,Jamal Murray,DEN,35.6,23.5,4.3,6.6,1.0,0.5,2.8,2.3,26.8,0.588
16,jamesle01,LeBron James,LAL,34.6,22.9,6.9,7.6,1.2,0.5,1.7,3.3,28.7,0.598
17,siakapa01,Pascal Siakam,IND,33.1,22.5,6.8,3.7,1.0,0.5,1.6,1.8,27.8,0.578
18,ballla01,LaMelo Ball,CHO,29.9,22.3,4.9,7.3,1.3,0.2,3.7,3.2,33.1,0.546
19,ingrabr01,Brandon Ingram,TOR,33.4,21.2,5.4,4.4,0.8,0.7,1.8,2.8,27.6,0.562
20,flaggco01,Cooper Flagg,DAL,33.5,21.0,6.7,4.5,1.2,0.9,1.0,2.3,27.0,0.536
21,townska01,Karl-Anthony Towns,NYK,32.4,20.9,11.4,3.1,0.9,0.7,1.7,2.5,25.8,0.626
22,randlju01,Julius Randle,MIN,33.4,20.6,7.2,4.7,0.8,0.2,1.5,2.9,26.5,0.571
23,avdijde01,Deni Avdija,POR,31.9,20.6,7.0,5.4,0.8,0.6,1.7,3.2,26.0,0.594
24,barrerj01,RJ Barrett,TOR,31.8,20.5,5.9,4.1,0.8,0.3,1.8,2.3,26.8,0.579
25,derozde01,DeMar DeRozan,SAC,33.6,20.4,3.4,4.4,1.0,0.4,0.8,1.3,23.8,0.58
26,murphtr02,Trey Murphy III,NOP,34.6,20.4,5.4,3.5,1.3,0.5,3.1,1.7,22.8,0.603
27,banede01,Desmond Bane,ORL,33.4,20.3,4.8,4.6,1.1,0.4,2.4,2.3,24.0,0.589
28,johnsja05,Jalen Johnson,ATL,35.1,20.3,9.9,6.3,1.3,0.6,1.5,3.0,24.3,0.578
29,sengual01,Alperen Şengün,HOU,33.0,20.1,9.5,5.6,1.2,1.0,0.4,2.8,26.4,0.564
30,millebr02,Brandon Miller,CHO,31.8,20.0,4.8,3.3,1.0,0.7,3.3,2.5,27.4,0.565
31,foxde01,De'Aaron Fox,SAS,33.0,19.7,4.1,6.2,1.4,0.3,1.8,2.3,25.8,0.553
32,adebaba01,Bam Adebayo,MIA,33.2,19.2,9.9,3.6,1.2,0.7,1.3,1.8,24.4,0.554
33,barnesc01,Scottie Barnes,TOR,33.8,19.0,7.6,6.0,1.4,1.4,1.1,2.7,25.0,0.561
34,bridgmi02,Miles Bridges,CHO,32.2,18.7,6.5,3.4,0.7,0.6,2.0,1.7,24.2,0.561
35,knuepko01,Kon Knueppel,CHO,31.5,18.3,5.3,3.3,0.7,0.2,3.3,1.9,22.3,0.626
36,mobleev01,Evan Mobley,CLE,31.9,17.7,9.0,3.4,0.8,1.6,1.0,2.0,22.2,0.613
37,anunoog01,OG Anunoby,NYK,34.5,17.1,5.0,2.2,1.5,0.8,2.4,1.5,19.3,0.609
38,beysa01,Saddiq Bey,NOP,31.5,16.8,5.8,2.3,0.9,0.1,2.0,0.9,20.5,0.563
39,quickim01,Immanuel Quickley,TOR,29.5,16.4,3.6,5.4,1.0,0.1,2.5,1.5,22.8,0.581
40,holmgch01,Chet Holmgren,OKC,29.1,16.2,8.5,1.7,0.7,2.0,1.3,1.5,21.5,0.621
41,castlst01,Stephon Castle,SAS,29.4,16.2,4.7,6.0,1.0,0.3,1.3,2.9,25.2,0.551
42,whitede01,Derrick White,BOS,34.1,16.1,4.4,5.0,1.0,1.2,3.0,1.7,20.6,0.564
43,bridgmi01,Mikal Bridges,NYK,34.4,15.9,3.7,3.5,1.1,0.6,2.0,1.4,18.7,0.581
44,wiggian01,Andrew Wiggins,MIA,30.5,15.8,4.7,2.7,1.0,0.9,2.0,1.8,21.8,0.564
45,edgecvj01,VJ Edgecombe,PHI,35.3,15.8,5.8,4.1,1.4,0.5,2.0,1.8,19.9,0.539
46,thompam01,Amen Thompson,HOU,33.9,15.8,7.7,4.4,1.4,0.8,0.3,2.1,19.1,0.587
47,durenja01,Jalen Duren,DET,28.0,15.5,10.5,2.3,0.7,1.0,0.0,1.9,20.1,0.675
48,vassede01,Devin Vassell,SAS,31.6,15.4,4.1,2.9,1.1,0.5,2.5,1.2,19.7,0.562
49,alexani01,Nickeil Alexander-Walker,ATL,29.3,15.1,3.1,3.2,1.0,0.5,2.5,1.7,20.3,0.581
50,pritcpa01,Payton Pritchard,BOS,29.6,14.8,3.7,4.3,0.7,0.1,2.7,1.1,19.7,0.568
51,allenja01,Jarrett Allen,CLE,28.4,14.6,9.0,1.9,1.0,1.0,0.0,1.3,18.2,0.68
52,grimequ01,Quentin Grimes,PHI,28.8,14.5,3.8,3.2,1.0,0.4,2.0,1.8,20.0,0.563
53,harrito02,Tobias Harris,DET,30.7,14.4,5.8,2.3,1.0,0.6,1.3,1.1,19.1,0.565
54,fearsje01,Jeremiah Fears,NOP,25.8,14.3,3.7,3.4,1.2,0.4,1.2,2.2,25.3,0.513
55,smithja05,Jabari Smith Jr.,HOU,33.1,14.3,7.1,1.6,0.6,0.8,2.1,1.2,17.6,0.574
56,baileac01,Ace Bailey,UTA,27.6,13.8,4.2,1.8,0.8,0.7,1.9,1.5,20.7,0.522
57,okongon01,Onyeka Okongwu,ATL,29.4,13.8,7.8,2.6,1.0,1.0,1.3,1.4,17.7,0.611
58,mcdanja02,Jaden McDaniels,MIN,31.7,13.7,4.7,2.3,1.1,0.9,1.3,1.5,17.8,0.58
59,buzelma01,Matas Buzelis,CHI,25.6,13.6,5.0,1.7,0.6,1.3,1.8,1.7,21.1,0.564
60,aytonde01,Deandre Ayton,LAL,28.9,13.5,9.2,1.2,0.7,1.0,0.1,1.4,18.0,0.615
61,reidna01,Naz Reid,MIN,26.1,13.4,6.0,2.1,0.8,0.9,2.1,1.5,21.5,0.569
62,marshna01,Naji Marshall,DAL,27.5,13.4,4.5,3.0,1.0,0.1,0.8,1.5,19.5,0.578
63,johnske04,Keldon Johnson,SAS,23.8,12.8,5.0,1.6,0.6,0.2,1.2,1.0,21.3,0.568
64,hachiru01,Rui Hachimura,LAL,30.0,12.7,4.0,1.1,0.7,0.4,1.8,0.7,16.0,0.617
65,jaqueja01,Jaime Jaquez Jr.,MIA,25.9,12.7,4.6,3.7,0.8,0.3,0.7,1.7,20.9,0.554
66,hardati02,Tim Hardaway Jr.,DEN,26.7,12.6,2.6,1.4,0.5,0.1,2.5,0.6,18.2,0.567
67,podzibr01,Brandin Podziemski,GSW,28.1,12.5,5.3,3.6,1.1,0.2,1.8,1.5,18.7,0.544
68,harpedy01,Dylan Harper,SAS,23.6,12.4,3.9,3.6,0.8,0.3,0.9,1.5,21.7,0.571
69,divindo01,Donte DiVincenzo,MIN,28.8,12.4,3.9,3.6,1.3,0.4,3.0,1.5,18.3,0.566
70,rolliry01,Ryan Rollins,MIL,23.0,12.0,3.3,3.8,1.2,0.4,1.7,1.9,22.3,0.599
71,hartjo01,Josh Hart,NYK,33.3,11.9,8.4,4.9,1.3,0.3,1.3,1.9,15.8,0.572
72,camarto01,Toumani Camara,POR,31.8,11.7,5.3,2.2,1.2,0.5,2.1,1.5,15.3,0.562
73,queende01,Derik Queen,NOP,25.0,11.7,7.1,3.7,1.0,0.9,0.3,2.3,21.5,0.533
74,robindu01,Duncan Robinson,DET,26.3,11.6,2.4,2.2,0.6,0.2,2.7,1.0,17.4,0.601
75,daniedy01,Dyson Daniels,ATL,31.3,11.3,6.1,4.9,2.2,0.5,0.6,1.7,16.0,0.532
76,blackan01,Anthony Black,ORL,25.9,11.3,3.3,3.0,1.2,0.6,1.1,1.7,20.0,0.515
77,goberru01,Rudy Gobert,MIN,32.0,11.2,11.2,1.7,0.8,1.6,0.0,1.4,13.1,0.645
78,cartewe01,Wendell Carter Jr.,ORL,28.1,10.8,7.4,1.9,0.7,0.6,0.8,1.3,16.0,0.596
79,carrica01,Bub Carrington,WAS,28.5,10.4,3.7,4.5,0.6,0.2,2.0,2.1,17.4,0.536
80,smartma01,Marcus Smart,LAL,27.0,10.2,2.7,3.6,1.5,0.4,1.6,2.0,18.0,0.526
81,sheppre01,Reed Sheppard,HOU,21.5,10.2,2.3,2.8,1.2,0.6,2.1,1.2,20.4,0.514
82,barneha02,Harrison Barnes,SAS,24.9,10.2,3.0,1.6,0.5,0.1,1.7,0.7,14.5,0.586
83,champju02,Julian Champagnie,SAS,25.6,10.1,4.8,1.5,0.8,0.5,2.2,0.8,15.5,0.572
84,clingdo01,Donovan Clingan,POR,24.4,9.9,10.1,1.7,0.6,1.6,0.8,1.2,16.2,0.57
85,chrisma02,Max Christie,DAL,25.6,9.9,2.9,1.7,0.6,0.4,1.7,1.0,16.1,0.613
86,thompau01,Ausar Thompson,DET,25.2,9.7,5.8,2.7,1.7,1.0,0.2,1.4,17.6,0.554
87,mitchda01,Davion Mitchell,MIA,27.8,9.4,2.5,5.5,0.9,0.2,1.3,1.5,14.4,0.583
88,onealro01,Royce O'Neale,PHO,26.6,9.2,4.8,2.5,1.0,0.4,2.5,1.1,14.4,0.584
89,gilleco01,Collin Gillespie,PHO,21.2,9.1,3.1,3.4,0.9,0.2,2.0,1.1,17.9,0.565
90,dortlu01,Luguentz Dort,OKC,27.4,8.8,3.7,1.4,0.9,0.4,2.0,0.8,14.0,0.538
91,greenaj01,A.J. Green,MIL,24.6,8.6,2.4,1.6,0.4,0.1,2.5,0.7,13.7,0.598
92,tysonja01,Jaylon Tyson,CLE,18.9,8.6,3.7,1.6,0.6,0.2,1.3,1.0,18.3,0.516
93,hausesa01,Sam Hauser,BOS,22.9,8.6,3.5,1.2,0.5,0.3,2.4,0.4,14.4,0.58
94,dasiltr01,Tristan Da Silva,ORL,22.9,8.5,3.5,1.5,0.7,0.3,1.3,0.9,15.9,0.518
95,brownbr01,Bruce Brown,DEN,24.5,8.2,3.9,2.3,0.9,0.2,0.7,1.1,15.6,0.503
96,wallaca01,Cason Wallace,OKC,25.4,8.0,3.1,2.4,1.7,0.4,1.2,0.8,13.3,0.556
97,quetane01,Neemias Queta,BOS,19.4,7.8,6.3,1.2,0.5,1.0,0.0,0.8,14.8,0.686
98,laravja01,Jake LaRavia,LAL,22.6,7.7,3.5,1.6,1.0,0.4,1.0,1.1,15.3,0.547
99,sheadja01,Jamal Shead,TOR,22.0,6.9,1.7,5.0,0.9,0.2,1.1,1.5,16.4,0.491
